county,Kod,population,WOJ.x,Feminization_index,w.wieku.przedprodukcyjnym.2021....,Working_age_population_share,w.wieku.poprodukcyjnym.2021....,Doctors_and_staff_per_10_thousand_people_in_2020,Population_per_1_square_km_in_2021,zaszczepieni_pelna_dawka,liczba_ludnosci,Fully_vaccinated_population,ludność,WOJ.y,Frekwencja,X..głosów.nieważnych,W.tym.z.powodu.postawienia.znaku..X..obok.nazwiska.dwóch.lub.większej.liczby.kandydatów.z.różnych.list,W.tym.z.powodu.niepostawienia.znaku..X..obok.nazwiska.żadnego.kandydata,W.tym.z.powodu.postawienia.znaku..X..wyłącznie.obok.nazwiska.kandydata.na.liście.której.rejestracja.została.unieważniona,X..głosów.ważnych,KOALICYJNY.KOMITET.WYBORCZY.KOALICJA.OBYWATELSKA.PO..N.IPL.ZIELONI...ZPOW.601.6.19,KOMITET.WYBORCZY.AKCJA.ZAWIEDZIONYCH.EMERYTÓW.RENCISTÓW...ZPOW.601.21.19,KOMITET.WYBORCZY.KONFEDERACJA.WOLNOŚĆ.I.NIEPODLEGŁOŚĆ...ZPOW.601.5.19,KOMITET.WYBORCZY.POLSKIE.STRONNICTWO.LUDOWE...ZPOW.601.19.19,KOMITET.WYBORCZY.PRAWICA...ZPOW.601.20.19,Votes_on_PiS_commission,KOMITET.WYBORCZY.SKUTECZNI.PIOTRA.LIROYA.MARCA...ZPOW.601.17.19,KOMITET.WYBORCZY.SOJUSZ.LEWICY.DEMOKRATYCZNEJ...ZPOW.601.1.19,KOMITET.WYBORCZY.WYBORCÓW.KOALICJA.BEZPARTYJNI.I.SAMORZĄDOWCY...ZPOW.601.10.19,KOMITET.WYBORCZY.WYBORCÓW.MNIEJSZOŚĆ.NIEMIECKA...ZPOW.601.15.19,Higher_education_population_share_in_2011,średnie,zasadnicze_zawodowe,podstawowe,Health_exp,Health_expenditure_per_1_person
aleksandrowski,401000,54701,4,106,17.2,59.4,23.4,52.1,115,32893,54891,59.92,54701,4,56.96,1.44,62.8,37.2,0,98.56,20.9,0,6.22,10.23,0,45.41,0,15.33,1.91,0,0.10596751115225991,0.31823920545408635,0.27287265381701875,0.30292062957663496,6391637.8,116.84681815688927
augustowski,2001000,57316,20,104,16.9,61.2,22,23.1,34,26289,57651,45.6,57316,20,52.33,1.07,55.64,44.36,0,98.93,16.15,0.35,5.84,14.74,0,55.02,0.37,6.85,0.7,0,0.1330415003647912,0.3360585382601605,0.18930518003519162,0.34159478133985666,3269479.25,57.04304644427385
bartoszycki,2801000,56077,28,104,17,60.5,22.5,24.2,43,32864,56562,58.1,56077,28,48.68,2.1,78.39,21.61,0,97.9,32.16,0,4.94,7.84,0,41.54,0,11.26,2.27,0,0.12410412719334377,0.2945876925611665,0.247219705082791,0.33408847516269874,3375567.9,60.19522977334736
bełchatowski,1001000,112149,10,105,18.8,59.7,21.5,50.1,116,55689,112443,49.53,112149,10,63.88,1.13,62.44,37.56,0,98.87,11.67,0,10,7.03,0,59.73,0,11.58,0,0,0.16047488900171764,0.3325843424904666,0.23581328522507536,0.27112748328274044,2678162.17,23.880392781032377
będziński,2401000,146527,24,110,16.1,57.6,26.2,41,401,94132,147259,63.92,146527,24,63.17,0.96,65.22,34.78,0,99.04,32.1,0,6.79,4.75,0,34.01,0,22.34,0,0,0.18755696113789852,0.39154209866253303,0.2197044641952998,0.20119647600426868,3531074.08,24.098453390842643
bialski,601000,109502,6,101,18.8,60.6,20.6,28.6,40,52005,109958,47.3,109502,6,56.57,1.64,68.21,31.79,0,98.36,17.94,0,5.35,10.79,0,60.89,0,3.97,1.06,0,0.11522210184182015,0.3054929577464789,0.24617551462621884,0.33310942578548214,7455213.52,68.0828982119048
białobrzeski,1401000,33232,14,98,20.3,60,19.6,27.6,52,17887,33329,53.67,33232,14,60.22,1.58,59.45,40.55,0,98.42,12.91,0,4.37,12.01,0,65.41,0.46,4.3,0.54,0,0.10620689655172413,0.2592377495462795,0.2715426497277677,0.36301270417422865,1141049.27,34.33585911169957
białogardzki,3201000,47100,32,103,17.6,60.5,21.9,27.1,55,24391,47304,51.56,47100,32,50.72,2.25,69.71,30.29,0,97.75,33.53,0,5.05,9.45,0,37.11,0,14.86,0,0,0.10921913065777664,0.3033209385818695,0.2606744454417233,0.3267854853186306,8361290.7,177.52209554140128
białostocki,2002000,151479,20,103,18.7,61,20.3,23.5,51,72574,150845,48.11,151479,20,59.75,0.91,49.92,50.08,0,99.09,22.04,0.33,7.58,6.7,0,53.24,0.5,8.65,0.96,0,0.16097291120643528,0.33192160845946656,0.20342441528290423,0.3036810650511939,18297289.29,120.79093002990513
bielski,2003000,53299,20,102,16.4,57.9,25.7,39.1,38,24204,53695,45.08,53299,20,53.58,1,56.02,43.98,0,99,25.59,0.27,4.5,7.72,0,50.94,0.3,9.9,0.77,0,0.03865616210943071,0.08644010747964789,0.04728762215541192,0.10055964721117697,1182046.73,22.177653051652
bielski,2402000,166405,24,105,19.8,59.5,20.7,26.6,363,97787,166348,58.78,166405,24,66.81,0.94,57.09,42.91,0,99.06,26.44,0,7.96,8.68,0,45.69,0,11.23,0,0,0.1155178020297908,0.24405410493527832,0.22151418514567373,0.14597036893358967,1077933.46,6.477770860250593
bieruńsko-lędziński,2414000,59898,24,103,20,60.7,19.3,27.1,379,34645,59823,57.91,59898,24,64.5,1.09,60,40,0,98.91,23.19,0,7.36,4.83,0,56.9,0,7.72,0,0,0.14492690377481998,0.3370717870390574,0.31667030329478507,0.20133100589133754,24000,0.40068115796854653
bieszczadzki,1801000,21382,18,103,16.1,62.3,21.6,34.4,19,8878,21489,41.31,21382,18,52.05,1.41,65.93,34.07,0,98.59,21.81,0,7.7,11.57,0,49.86,0,9.06,0,0,0.13626373626373625,0.3301211608903917,0.23296703296703297,0.30064806987883913,4079814.19,190.8060139369563
biłgorajski,602000,99806,6,103,17.3,60.5,22.2,24.7,59,43163,100333,43.02,99806,6,56.77,1.1,66.99,33.01,0,98.9,7.81,0,6.8,14.2,0,65,0,5.49,0.7,0,0.13900864693703568,0.3,0.23347947874802094,0.3275118743149434,2498583.96,25.03440634831573
bocheński,1201000,106826,12,102,20.9,60,19,33.7,165,55667,106947,52.05,106826,12,63.83,1.16,64.75,35.25,0,98.84,11.86,0,6.62,11.41,0,65.08,0,5.03,0,0,0.14608455972830633,0.33713146625978246,0.2859551114829945,0.23082886252891668,6229183.14,58.311489150581316
bolesławiecki,201000,89574,2,106,17.6,59.8,22.6,30.7,69,47192,89762,52.57,89574,2,55.87,1.53,58.81,41.19,0,98.47,20.52,0,6.73,7.21,0,42.44,0,17.67,5.43,0,0.12175838963806106,0.32305363200538284,0.2909248927640248,0.2642630855925313,2660188.54,29.69822202871369
braniewski,2802000,40511,28,100,16.8,62.1,21,30.7,34,22796,40776,55.91,40511,28,48.73,1.91,78.43,21.57,0,98.09,27.72,0,5.49,12.27,0,38.03,0,10.56,5.92,0,0.12269364601304132,0.3187812509137694,0.22629316646685577,0.33223193660633354,4311356.02,106.42432968823282
brodnicki,402000,78915,4,102,20.5,60.3,19.2,26.1,76,45219,79023,57.22,78915,4,54.24,1.37,68.44,31.56,0,98.63,13.92,0,4.71,29.13,0,42.88,0,8.61,0.75,0,0.10663107614498454,0.2723299303799444,0.27743436046330117,0.34360463301176986,2217293.56,28.097238294367358
brzeski,1202000,92831,12,102,19.4,61.4,19.2,33.4,157,42880,93035,46.09,92831,12,59.29,1.29,64.16,35.84,0,98.71,10.14,0,8.44,13.49,0,63.62,0,4.31,0,0,0.057935929354479304,0.14735010522551273,0.15686166627694254,0.12618120796137605,4453285.44,47.97196453770831
brzeski,1601000,88942,16,106,17.2,59.7,23,26.1,101,46216,89282,51.76,88942,16,56.22,1.2,62.29,37.71,0,98.8,23.08,0,6.44,15.41,0,44.27,0,10.42,0,0.38,0.07572798173340119,0.19193683718243215,0.11769439209914581,0.12631188016671022,4051584.16,45.55310382046727
brzeziński,1021000,30589,10,107,18,59,23,113.9,85,16646,30648,54.31,30589,10,61.79,1.4,70.75,29.25,0,98.6,16.9,0,6.79,11.89,0,53.62,0,10.8,0,0,0.12450238076652877,0.3164468035282179,0.25017563031769574,0.3088751853875576,785087.95,25.665695184543463
brzozowski,1802000,65129,18,102,18.9,60.9,20.2,41.1,121,24255,65373,37.1,65129,18,55.97,1.17,62.76,37.24,0,98.83,8.2,0,6.58,5.32,0,75.77,0,4.13,0,0,0.11100828995565838,0.29535376903797955,0.26764989396568345,0.32598804704067863,4287223.38,65.82664220239832
buski,2601000,70687,26,105,16,58.9,25,47.7,73,39684,71125,55.79,70687,26,56.08,1.1,66.13,33.87,0,98.9,10.97,0,4.67,14.93,0,59.49,1.11,8,0.83,0,0.1366382344755325,0.3002406640362797,0.25233706062441674,0.31078404086377104,2706897.64,38.29413668708532
bydgoski,403000,121098,4,102,20.4,62,17.6,24,88,73958,120432,61.41,121098,4,61.97,1.33,72.85,27.15,0,98.67,33.34,0,8.22,8.6,0,32.87,0,15.71,1.26,0,0.1618068121950661,0.28026433332569806,0.2751906910690153,0.28273816341022057,29571.8,0.24419726172191117
bytowski,2201000,78939,22,101,20.7,60.4,18.9,22.5,36,41453,79114,52.4,78939,22,54.18,1.36,56.88,43.12,0,98.64,26.69,0,6.65,9.39,0,43.72,0,13.54,0,0,0.10862646993754362,0.2793859873045047,0.29848028454246867,0.31350725821548303,2860962.75,36.24270322654201
chełmiński,404000,51427,4,104,18.7,60.7,20.6,20.9,97,29928,51657,57.94,51427,4,52.54,1.73,65.73,34.27,0,98.27,28.92,0,6.7,11.28,0,39.86,0,12.03,1.21,0,0.09302272519850324,0.26480788537008304,0.29170849685132794,0.3504608925800858,2441214.45,47.46950920722578
chełmski,603000,77214,6,102,17.5,61.3,21.1,6.3,41,35138,77502,45.34,77214,6,48.53,1.96,68.17,31.83,0,98.04,15.8,0,6.03,11.02,0,61.19,0,5.07,0.89,0,0.09528855308823982,0.2715224669062318,0.2449092416843269,0.3882797383212015,6018886.67,77.95071709793561
chodzieski,3001000,46669,30,104,18.7,59.9,21.3,14.9,68,28942,46824,61.81,46669,30,60.62,1.6,66.95,33.05,0,98.4,30.34,0,6.98,16.69,0,31.2,0,14.78,0,0,0.12118763359574579,0.2982117720661071,0.32631249674156715,0.25428809759657994,1913686.49,41.00551736698879
chojnicki,2202000,97536,22,103,21.1,59.2,19.7,40.4,72,53510,97661,54.79,97536,22,58.61,1.2,57.2,42.8,0,98.8,30.66,0,7.15,8.02,0,45.33,0,8.84,0,0,0.11349739203856787,0.30395347887074586,0.31780359258603547,0.26474553650465077,4988891.07,51.14922766978347
choszczeński,3202000,47682,32,101,17.1,60.4,22.5,24.2,36,28792,47970,60.02,47682,32,48.13,2.45,78.03,21.97,0,97.55,29.48,0,5.57,10.36,0,40.94,0,13.64,0,0,0.12005820405948653,0.28756751424273064,0.23856265568352775,0.3538116260142551,2255351.82,47.29985780797785
chrzanowski,1203000,123099,12,107,16.3,58.9,24.8,67.3,331,74309,123664,60.09,123099,12,62.82,1.13,60.52,39.48,0,98.87,30.18,0,7.15,5.48,0,44.39,0,12.79,0,0,0.1580815050553412,0.3579951371091146,0.2515466433848725,0.2323767144506717,5254638.9,42.68628421026978
ciechanowski,1402000,88476,14,103,18.2,59.4,22.4,44.3,83,49721,88891,55.93,88476,14,57.45,1.43,61.37,38.63,0,98.57,15.94,0,5.12,14.33,0,54.24,0,8.91,1.46,0,0.16211890747966404,0.33545400436479067,0.23199523841015807,0.2704318497453872,2984108.06,33.72788168542882
cieszyński,2403000,177030,24,106,19,58.8,22.2,47.2,242,94283,177536,53.11,177030,24,62.3,1,61.23,38.77,0,99,28.3,0,7.72,8.19,0,41.48,0,14.31,0,0,0.14598007737358856,0.3338505874528929,0.3114394204846933,0.20872991468882515,3364596.16,19.0057965316613
czarnkowsko-trzcianecki,3002000,86116,30,101,19.2,60,20.8,17.9,48,51193,86590,59.12,86116,30,57.09,1.94,70.64,29.36,0,98.06,27.8,0,6.23,16.54,0,37.88,0,11.55,0,0,0.12191743656380746,0.31858748268623893,0.2876154845711185,0.2718795961788351,4191348.79,48.67096462910493
częstochowski,2404000,133650,24,104,16.7,60.6,22.7,32.8,88,74363,134106,55.45,133650,24,60.47,1.37,71.78,28.22,0,98.63,18.64,0,5.9,11.25,0,49.6,0,12.58,2.04,0,0.1226746443573723,0.30600268276324616,0.2845052772777013,0.28681739560168024,105966.82,0.7928680882903105
człuchowski,2203000,55615,22,103,18.8,59.8,21.4,18.6,35,31003,55835,55.53,55615,22,51.34,1.95,65.32,34.68,0,98.05,34.57,0,6.35,9.23,0,37.76,0,12.09,0,0,0.10660298722656514,0.29617698078352744,0.28718826736353603,0.3100317646263714,5448016.44,97.95947927717343
dąbrowski,1204000,58852,12,101,17.8,62.8,19.4,32.6,111,22834,58977,38.72,58852,12,53.63,1.43,63.33,36.67,0,98.57,5.81,0,6.56,14.43,0,70.19,0,3.02,0,0,0.10127317503833465,0.28228242182054736,0.30570140792714096,0.310742995213977,2200034.11,37.382486746414735
dębicki,1803000,134612,18,103,19,61.1,19.9,22.1,173,55395,134991,41.04,134612,18,59.98,1.12,59.55,40.45,0,98.88,13.9,0,7.15,8.21,0,65.42,0.41,4.92,0,0,0.1384713874848314,0.3526567740332706,0.24283134429612926,0.26604049418576875,2912950.86,21.639607612991412
drawski,3203000,56159,32,104,17.4,59.9,22.7,34.7,32,31067,56482,55,56159,32,50.54,1.96,73.99,26.01,0,98.04,29.36,0,6.01,10.97,0,38.38,0,15.28,0,0,0.10366474013464078,0.31582137368227375,0.2651037946186982,0.3154100915643873,2474487.82,44.062177389198524
działdowski,2803000,64415,28,103,19.1,60.7,20.2,29.3,67,37514,64768,57.92,64415,28,51.41,2.27,72.86,27.14,0,97.73,20.02,0,5.37,15.2,0,48.22,0,8.98,2.21,0,0.11009208937198067,0.2927234299516908,0.25615187198067635,0.34103260869565216,6066067.51,94.1716604828068
dzierżoniowski,202000,99340,2,110,15.5,58.2,26.4,27,207,51141,99935,51.17,99340,2,55.4,1.36,66.89,33.11,0,98.64,26.51,0,5.64,10.52,0,43.61,0,11.17,2.54,0,0.12423781415444532,0.34194608409906896,0.25168867522667804,0.2821274265198077,2010026.66,20.233809744312463
elbląski,2804000,56762,28,100,18.5,61.3,20.2,17,40,31990,56986,56.14,56762,28,47.83,1.96,71.12,28.88,0,98.04,27.07,0,5.61,11.19,0,41.56,0,11.59,2.98,0,0.09848230098415046,0.27284955276077744,0.2869504786244311,0.34171766763064093,2240416.64,39.47036115711215
ełcki,2805000,91216,28,104,19.6,61,19.4,35.5,82,41223,91395,45.1,91216,28,49.78,1.32,56.43,43.57,0,98.68,24.22,0,8.93,9.17,0,43.34,0.78,13.55,0,0,0.14541487419145183,0.3555909752096809,0.19182321809909939,0.3071709324997679,3267865.09,35.82556886949658
garwoliński,1403000,108400,14,101,21.6,59.3,19.1,35.4,84,57931,108634,53.33,108400,14,62.81,1.27,59.29,40.71,0,98.73,9.81,0.3,5.61,11.04,0,67.19,0,4.48,1.57,0,0.127229570119481,0.31534081183169954,0.2609067774366933,0.29652284061212614,4690205.27,43.26757629151291
gdański,2204000,121406,22,104,22.6,60.9,16.4,18.3,154,76233,120327,63.35,121406,22,64.13,1.16,61.87,38.13,0,98.84,42.79,0,8.33,6.72,0,30,0,12.16,0,0,0.1946833977849683,0.34062031410307,0.23119722200299897,0.23349906610896273,497921.57,4.101292934451346
giżycki,2806000,55943,28,105,17.4,60.1,22.5,31.1,50,32183,56227,57.24,55943,28,53.24,1.75,69.01,30.99,0,98.25,28.79,0,6.86,14.18,0,37.01,0.7,12.46,0,0,0.148965884152424,0.3280352907273171,0.21296357872802643,0.3100352463922325,4410810.72,78.84472981427524
gliwicki,2405000,115207,24,107,18.2,59.9,21.9,48.6,173,65225,115416,56.51,115207,24,58.29,1.26,56.62,43.38,0,98.74,29.52,0,8.21,6.65,0,43.18,0,10.29,2.15,0,0.13176855412633162,0.3166357247049463,0.31563011094903415,0.23596561021968793,12706953.5,110.29671374135252
głogowski,203000,88189,2,106,18.1,57.9,24,35.4,199,52013,88447,58.81,88189,2,60.26,1.1,66.15,33.85,0,98.9,26.16,0,5.29,5.07,0,44.28,0,16.69,2.51,0,0.16911876652226268,0.3548462997051944,0.26843919115306364,0.20759574261947933,2448464.45,27.76383052308111
głubczycki,1602000,44723,16,105,15.5,60,24.5,26.4,66,23018,45015,51.13,44723,16,51.3,1.58,65.66,34.34,0,98.42,23.46,0,4.88,7.92,0,54.04,0,8.81,0,0.9,0.11724263652699289,0.32185734003489674,0.26651735722284436,0.29438266621526604,2143737.91,47.933678644098116
gnieźnieński,3003000,144662,30,105,20,58.9,21.1,17.5,115,88001,145068,60.66,144662,30,61.39,1.48,70.71,29.29,0,98.52,25.2,0.67,6.41,7.37,0,38.24,0,22.11,0,0,0.1397894520793959,0.3175151582530167,0.31948209658522403,0.2232132930823634,7167856.85,49.54899593535275
goleniowski,3204000,82136,32,103,18.5,60.5,21,32.2,51,48253,82310,58.62,82136,32,54.16,1.73,66.83,33.17,0,98.27,29.62,0,6.44,12.55,0,36.61,0,14.8,0,0,0.13181355461640498,0.3322947836011969,0.24064534040781071,0.2952463213745874,2801010.41,34.10210394954709
golubsko-dobrzyński,405000,44614,4,102,18.9,61,20.1,26.8,73,25449,44855,56.74,44614,4,52.16,1.48,69.71,30.29,0,98.52,19.17,0,6.2,13.13,0,49.98,0,10.45,1.08,0,0.08796419628110182,0.2690873248441579,0.2832329905695562,0.3597154883051841,1949644,43.70027345676245
gołdapski,2818000,26396,28,102,18.7,60.9,20.4,26,34,13665,26489,51.59,26396,28,46.42,1.81,57.87,42.13,0,98.19,27.21,0,5.1,12.62,0,40.73,0.67,13.66,0,0,0.1148740972086668,0.30572906500097596,0.21627952371657233,0.3631173140737849,732734.65,27.759306334293075
gorlicki,1205000,108193,12,102,19.2,60.1,20.7,34.1,112,46915,108487,43.24,108193,12,57.62,1.4,69.6,30.4,0,98.6,15.07,0,6.14,10.43,0,61.92,0,6.45,0,0,0.12195065013889862,0.3228750846231062,0.2962042159815113,0.25897004925648387,2626584.87,24.27684665366521
gorzowski,801000,72429,8,102,19.7,61.6,18.8,26,60,42049,72291,58.17,72429,8,56.86,1.57,67.63,32.37,0,98.43,31.88,0,7.94,10.05,0,34.73,0,15.41,0,0,0.1408728694753929,0.30762561794436655,0.27235667379915884,0.2791448387810817,3393052.41,46.846600256803214
gostyniński,1404000,44367,14,106,16.6,59.8,23.7,65.3,72,23781,44581,53.34,44367,14,55.96,1.67,57.6,42.4,0,98.33,17.11,0,5.04,12.58,0,55.66,0,8.58,1.03,0,0.12595869434337617,0.31188650106012616,0.2362379917807502,0.32591681281574747,3520856.26,79.35754637455766
gostyński,3004000,75509,30,101,20.2,59.9,19.9,24.7,93,40231,75732,53.12,75509,30,55.49,1.96,70.08,29.92,0,98.04,21.34,0,9.96,10.83,0,45.16,0,12.72,0,0,0.11015835363508142,0.292761892550327,0.3310520579561482,0.2660276958584434,1988318.78,26.332209140632244
górowski,204000,34362,2,102,17.6,60.2,22.2,11.6,46,17877,34552,51.74,34362,2,50.39,1.58,67.28,32.72,0,98.42,22.58,0,5.56,8.09,0,48.83,0,11.26,3.68,0,0.09719097293243335,0.2972318810936115,0.2986295766005318,0.3069475693734233,2546645.66,74.11226529305628
grajewski,2004000,46519,20,101,17.1,61.7,21.2,34,48,17950,46792,38.36,46519,20,50.57,1.36,56.25,43.75,0,98.64,11.22,0.41,7.43,14.01,0,61.16,0.3,5.1,0.38,0,0.11340262732084579,0.29948166634670764,0.2110632696157749,0.3760524367166717,2194898.37,47.18283647541865
grodziski,1405000,98120,14,108,21.8,57.9,20.3,66,269,61513,97462,63.11,98120,14,70.41,0.83,52.38,47.62,0,99.17,28.6,0,6.49,11.21,0,37.93,0,13.89,1.89,0,0.1469439889844097,0.24108380363985543,0.1134442743389287,0.12933353866780203,4694298.99,47.84242753770893
grodziski,3005000,51819,30,102,21.8,60.3,17.9,30.8,81,31926,51929,61.48,51819,30,58.65,2.01,66.59,33.41,0,97.99,28.8,0,7.31,11.49,0,41.2,0,11.2,0,0,0.032892770112964154,0.09631394432416274,0.14082019041752347,0.09916748951435378,3832597.42,73.96123854184758
grójecki,1406000,97662,14,104,19.3,58.5,22.2,35.6,77,55633,97979,56.78,97662,14,61.98,1.26,57.96,42.04,0,98.74,12.16,0,6.52,21.03,0,50.56,0.58,8.35,0.8,0,0.13456696570436824,0.32483072184604855,0.24127942506538905,0.2993228873841942,5903300,60.446232925805326
grudziądzki,406000,40263,4,100,19.9,61.7,18.4,15.9,55,22266,40305,55.24,40263,4,49.48,1.57,69.58,30.42,0,98.43,20.03,0,6.19,12.91,0,47.76,0,11.78,1.33,0,0.08304150552696489,0.23688297451201315,0.298121136453607,0.38195438350741495,36488.2,0.9062464297245609
gryficki,3205000,59609,32,102,17.3,60.5,22.2,35.4,58,34869,59844,58.27,59609,32,51.31,1.8,71.88,28.12,0,98.2,31.91,0,5.5,13.49,0,37.61,0,11.49,0,0,0.12487937088064391,0.3372482187955567,0.2612775393712913,0.27659487095250807,1439674.42,24.151963965173042
gryfiński,3206000,80955,32,102,17.3,60.5,22.1,23.9,43,47831,81289,58.84,80955,32,52,1.73,67.89,32.11,0,98.27,27.18,0,6.46,8.64,0,42.54,0,15.18,0,0,0.12385246266332478,0.3024307769884468,0.25461610334139145,0.31910065700683704,6389797.92,78.93024420974615
hajnowski,2005000,41612,20,107,14.4,56.2,29.4,36.7,25,19045,41991,45.35,41612,20,49.16,1.46,62.98,37.02,0,98.54,34.35,0.58,5.67,12.2,0,29.93,0.58,15.93,0.76,0,0.14449108871069102,0.33840275508408535,0.1757622985847515,0.3413438576204721,1653464.09,39.73527083533596
hrubieszowski,604000,61444,6,104,15.3,59.8,24.9,18.1,48,32500,62009,52.41,61444,6,48.92,1.43,70.73,29.27,0,98.57,7.66,0,4.58,12.58,0,62.38,0,12.02,0.78,0,0.11311648935215916,0.32890794596243206,0.20929690163081505,0.3486786630545937,5549191.58,90.31299362020702
iławski,2807000,92336,28,102,19.6,60,20.4,20.4,66,52243,92644,56.39,92336,28,53.46,1.82,69.66,30.34,0,98.18,24.76,0,6.68,13.03,0,43.91,0,9.41,2.21,0,0.11411583411747057,0.2870760544941292,0.27425711519317053,0.3245509961952297,1465472.34,15.871083217813204
inowrocławski,407000,157521,4,107,16.8,60.1,23.1,34.9,128,97552,158496,61.55,157521,4,57.47,1.78,68.31,31.69,0,98.22,30,0,5.82,11.45,0,37.66,0,13.49,1.58,0,0.12152711349191166,0.31481835767276745,0.274557319898816,0.2890972089365049,7470109.91,47.42294621034656
janowski,605000,44911,6,101,16.9,60.7,22.4,44.1,51,19411,45142,43,44911,6,60.21,1.19,48.68,51.32,0,98.81,6.03,0,5.33,6.62,0,77.19,0,4.29,0.54,0,0.12431776834445118,0.27558203918053104,0.23452949086402827,0.36557070161098953,7304320.25,162.6398933446149
