"Kod";"Nazwa";"ogółem;2021;[osoba]";
0000000;"POLSKA";107;
0200000;"DOLNOŚLĄSKIE";108;
0201000;"Powiat bolesławiecki";106;
0202000;"Powiat dzierżoniowski";110;
0203000;"Powiat głogowski";106;
0204000;"Powiat górowski";102;
0205000;"Powiat jaworski";104;
0206000;"Powiat karkonoski";107;
0207000;"Powiat kamiennogórski";104;
0208000;"Powiat kłodzki";108;
0209000;"Powiat legnicki";104;
0210000;"Powiat lubański";106;
0211000;"Powiat lubiński";108;
0212000;"Powiat lwówecki";106;
0213000;"Powiat milicki";102;
0214000;"Powiat oleśnicki";105;
0215000;"Powiat oławski";106;
0216000;"Powiat polkowicki";102;
0217000;"Powiat strzeliński";102;
0218000;"Powiat średzki";102;
0219000;"Powiat świdnicki";107;
0220000;"Powiat trzebnicki";104;
0221000;"Powiat wałbrzyski";108;
0222000;"Powiat wołowski";105;
0223000;"Powiat wrocławski";104;
0224000;"Powiat ząbkowicki";105;
0225000;"Powiat zgorzelecki";106;
0226000;"Powiat złotoryjski";104;
0261000;"Powiat m.Jelenia Góra";115;
0262000;"Powiat m.Legnica";112;
0264000;"Powiat m.Wrocław";114;
0265000;"Powiat m.Wałbrzych od 2013";112;
0400000;"KUJAWSKO-POMORSKIE";106;
0401000;"Powiat aleksandrowski";106;
0402000;"Powiat brodnicki";102;
0403000;"Powiat bydgoski";102;
0404000;"Powiat chełmiński";104;
0405000;"Powiat golubsko-dobrzyński";102;
0406000;"Powiat grudziądzki";100;
0407000;"Powiat inowrocławski";107;
0408000;"Powiat lipnowski";101;
0409000;"Powiat mogileński";104;
0410000;"Powiat nakielski";102;
0411000;"Powiat radziejowski";102;
0412000;"Powiat rypiński";103;
0413000;"Powiat sępoleński";101;
0414000;"Powiat świecki";103;
0415000;"Powiat toruński";103;
0416000;"Powiat tucholski";100;
0417000;"Powiat wąbrzeski";103;
0418000;"Powiat włocławski";102;
0419000;"Powiat żniński";103;
0461000;"Powiat m.Bydgoszcz";113;
0462000;"Powiat m.Grudziądz";111;
0463000;"Powiat m.Toruń";115;
0464000;"Powiat m.Włocławek";113;
0600000;"LUBELSKIE";106;
0601000;"Powiat bialski";101;
0602000;"Powiat biłgorajski";103;
0603000;"Powiat chełmski";102;
0604000;"Powiat hrubieszowski";104;
0605000;"Powiat janowski";101;
0606000;"Powiat krasnostawski";106;
0607000;"Powiat kraśnicki";106;
0608000;"Powiat lubartowski";105;
0609000;"Powiat lubelski";104;
0610000;"Powiat łęczyński";104;
0611000;"Powiat łukowski";101;
0612000;"Powiat opolski";105;
0613000;"Powiat parczewski";101;
0614000;"Powiat puławski";109;
0615000;"Powiat radzyński";100;
0616000;"Powiat rycki";101;
0617000;"Powiat świdnicki";108;
0618000;"Powiat tomaszowski";103;
0619000;"Powiat włodawski";103;
0620000;"Powiat zamojski";103;
0661000;"Powiat m.Biała Podlaska";109;
0662000;"Powiat m.Chełm";114;
0663000;"Powiat m.Lublin";117;
0664000;"Powiat m.Zamość";113;
0800000;"LUBUSKIE";106;
0801000;"Powiat gorzowski";102;
0802000;"Powiat krośnieński";104;
0803000;"Powiat międzyrzecki";103;
0804000;"Powiat nowosolski";106;
0805000;"Powiat słubicki";105;
0806000;"Powiat strzelecko-drezdenecki";103;
0807000;"Powiat sulęciński";101;
0808000;"Powiat świebodziński";104;
0809000;"Powiat zielonogórski";103;
0810000;"Powiat żagański";105;
0811000;"Powiat żarski";106;
0812000;"Powiat wschowski";103;
0861000;"Powiat m.Gorzów Wielkopolski";111;
0862000;"Powiat m.Zielona Góra";111;
1000000;"ŁÓDZKIE";110;
1001000;"Powiat bełchatowski";105;
1002000;"Powiat kutnowski";108;
1003000;"Powiat łaski";106;
1004000;"Powiat łęczycki";106;
1005000;"Powiat łowicki";107;
1006000;"Powiat łódzki wschodni";108;
1007000;"Powiat opoczyński";102;
1008000;"Powiat pabianicki";112;
1009000;"Powiat pajęczański";102;
1010000;"Powiat piotrkowski";103;
1011000;"Powiat poddębicki";103;
1012000;"Powiat radomszczański";104;
1013000;"Powiat rawski";103;
1014000;"Powiat sieradzki";105;
1015000;"Powiat skierniewicki";101;
1016000;"Powiat tomaszowski";109;
1017000;"Powiat wieluński";104;
1018000;"Powiat wieruszowski";102;
1019000;"Powiat zduńskowolski";107;
1020000;"Powiat zgierski";111;
1021000;"Powiat brzeziński";107;
1061000;"Powiat m.Łódź";119;
1062000;"Powiat m.Piotrków Trybunalski";114;
1063000;"Powiat m.Skierniewice";110;
1200000;"MAŁOPOLSKIE";106;
1201000;"Powiat bocheński";102;
1202000;"Powiat brzeski";102;
1203000;"Powiat chrzanowski";107;
1204000;"Powiat dąbrowski";101;
1205000;"Powiat gorlicki";102;
1206000;"Powiat krakowski";104;
1207000;"Powiat limanowski";100;
1208000;"Powiat miechowski";103;
1209000;"Powiat myślenicki";102;
1210000;"Powiat nowosądecki";101;
1211000;"Powiat nowotarski";104;
1212000;"Powiat olkuski";106;
1213000;"Powiat oświęcimski";106;
1214000;"Powiat proszowicki";103;
1215000;"Powiat suski";102;
1216000;"Powiat tarnowski";101;
1217000;"Powiat tatrzański";107;
1218000;"Powiat wadowicki";104;
1219000;"Powiat wielicki";105;
1261000;"Powiat m.Kraków";114;
1262000;"Powiat m.Nowy Sącz";109;
1263000;"Powiat m.Tarnów";112;
1400000;"MAZOWIECKIE";109;
1401000;"Powiat białobrzeski";98;
1402000;"Powiat ciechanowski";103;
1403000;"Powiat garwoliński";101;
1404000;"Powiat gostyniński";106;
1405000;"Powiat grodziski";108;
1406000;"Powiat grójecki";104;
1407000;"Powiat kozienicki";102;
1408000;"Powiat legionowski";108;
1409000;"Powiat lipski";102;
1410000;"Powiat łosicki";101;
1411000;"Powiat makowski";100;
1412000;"Powiat miński";105;
1413000;"Powiat mławski";104;
1414000;"Powiat nowodworski";105;
1415000;"Powiat ostrołęcki";97;
1416000;"Powiat ostrowski";103;
1417000;"Powiat otwocki";109;
1418000;"Powiat piaseczyński";109;
1419000;"Powiat płocki";102;
1420000;"Powiat płoński";104;
1421000;"Powiat pruszkowski";110;
1422000;"Powiat przasnyski";100;
1423000;"Powiat przysuski";101;
1424000;"Powiat pułtuski";103;
1425000;"Powiat radomski";101;
1426000;"Powiat siedlecki";99;
1427000;"Powiat sierpecki";103;
1428000;"Powiat sochaczewski";106;
1429000;"Powiat sokołowski";101;
1430000;"Powiat szydłowiecki";101;
1432000;"Powiat warszawski zachodni";108;
1433000;"Powiat węgrowski";100;
1434000;"Powiat wołomiński";108;
1435000;"Powiat wyszkowski";102;
1436000;"Powiat zwoleński";101;
1437000;"Powiat żuromiński";102;
1438000;"Powiat żyrardowski";109;
1461000;"Powiat m.Ostrołęka";110;
1462000;"Powiat m.Płock";113;
1463000;"Powiat m.Radom";111;
1464000;"Powiat m.Siedlce";112;
1465000;"Powiat m. st. Warszawa";117;
1600000;"OPOLSKIE";107;
1601000;"Powiat brzeski";106;
1602000;"Powiat głubczycki";105;
1603000;"Powiat kędzierzyńsko-kozielski";108;
1604000;"Powiat kluczborski";105;
1605000;"Powiat krapkowicki";107;
1606000;"Powiat namysłowski";105;
1607000;"Powiat nyski";106;
1608000;"Powiat oleski";105;
1609000;"Powiat opolski";107;
1610000;"Powiat prudnicki";108;
1611000;"Powiat strzelecki";105;
1661000;"Powiat m.Opole";113;
1800000;"PODKARPACKIE";104;
1801000;"Powiat bieszczadzki";103;
1802000;"Powiat brzozowski";102;
1803000;"Powiat dębicki";103;
1804000;"Powiat jarosławski";105;
1805000;"Powiat jasielski";103;
1806000;"Powiat kolbuszowski";101;
1807000;"Powiat krośnieński";103;
1808000;"Powiat leżajski";102;
1809000;"Powiat lubaczowski";102;
1810000;"Powiat łańcucki";103;
1811000;"Powiat mielecki";103;
1812000;"Powiat niżański";103;
1813000;"Powiat przemyski";100;
1814000;"Powiat przeworski";103;
1815000;"Powiat ropczycko-sędziszowski";102;
1816000;"Powiat rzeszowski";102;
1817000;"Powiat sanocki";104;
1818000;"Powiat stalowowolski";107;
1819000;"Powiat strzyżowski";101;
1820000;"Powiat tarnobrzeski";103;
1821000;"Powiat leski";103;
1861000;"Powiat m.Krosno";113;
1862000;"Powiat m.Przemyśl";114;
1863000;"Powiat m.Rzeszów";110;
1864000;"Powiat m.Tarnobrzeg";109;
2000000;"PODLASKIE";105;
2001000;"Powiat augustowski";104;
2002000;"Powiat białostocki";103;
2003000;"Powiat bielski";102;
2004000;"Powiat grajewski";101;
2005000;"Powiat hajnowski";107;
2006000;"Powiat kolneński";100;
2007000;"Powiat łomżyński";97;
2008000;"Powiat moniecki";101;
2009000;"Powiat sejneński";101;
2010000;"Powiat siemiatycki";104;
2011000;"Powiat sokólski";102;
2012000;"Powiat suwalski";96;
2013000;"Powiat wysokomazowiecki";98;
2014000;"Powiat zambrowski";102;
2061000;"Powiat m.Białystok";113;
2062000;"Powiat m.Łomża";111;
2063000;"Powiat m.Suwałki";109;
2200000;"POMORSKIE";106;
2201000;"Powiat bytowski";101;
2202000;"Powiat chojnicki";103;
2203000;"Powiat człuchowski";103;
2204000;"Powiat gdański";104;
2205000;"Powiat kartuski";100;
2206000;"Powiat kościerski";100;
2207000;"Powiat kwidzyński";102;
2208000;"Powiat lęborski";104;
2209000;"Powiat malborski";105;
2210000;"Powiat nowodworski";101;
2211000;"Powiat pucki";102;
2212000;"Powiat słupski";101;
2213000;"Powiat starogardzki";103;
2214000;"Powiat tczewski";104;
2215000;"Powiat wejherowski";102;
2216000;"Powiat sztumski";101;
2261000;"Powiat m.Gdańsk";111;
2262000;"Powiat m.Gdynia";112;
2263000;"Powiat m.Słupsk";113;
2264000;"Powiat m.Sopot";115;
2400000;"ŚLĄSKIE";108;
2401000;"Powiat będziński";110;
2402000;"Powiat bielski";105;
2403000;"Powiat cieszyński";106;
2404000;"Powiat częstochowski";104;
2405000;"Powiat gliwicki";107;
2406000;"Powiat kłobucki";103;
2407000;"Powiat lubliniecki";104;
2408000;"Powiat mikołowski";106;
2409000;"Powiat myszkowski";108;
2410000;"Powiat pszczyński";105;
2411000;"Powiat raciborski";109;
2412000;"Powiat rybnicki";103;
2413000;"Powiat tarnogórski";106;
2414000;"Powiat bieruńsko-lędziński";103;
2415000;"Powiat wodzisławski";106;
2416000;"Powiat zawierciański";107;
2417000;"Powiat żywiecki";105;
2461000;"Powiat m.Bielsko-Biała";112;
2462000;"Powiat m.Bytom";110;
2463000;"Powiat m.Chorzów";111;
2464000;"Powiat m.Częstochowa";114;
2465000;"Powiat m.Dąbrowa Górnicza";109;
2466000;"Powiat m.Gliwice";109;
2467000;"Powiat m.Jastrzębie-Zdrój";105;
2468000;"Powiat m.Jaworzno";107;
2469000;"Powiat m.Katowice";111;
2470000;"Powiat m.Mysłowice";108;
2471000;"Powiat m.Piekary Śląskie";108;
2472000;"Powiat m.Ruda Śląska";107;
2473000;"Powiat m.Rybnik";105;
2474000;"Powiat m.Siemianowice Śląskie";110;
2475000;"Powiat m.Sosnowiec";112;
2476000;"Powiat m.Świętochłowice";110;
2477000;"Powiat m.Tychy";108;
2478000;"Powiat m.Zabrze";108;
2479000;"Powiat m.Żory";105;
2600000;"ŚWIĘTOKRZYSKIE";105;
2601000;"Powiat buski";105;
2602000;"Powiat jędrzejowski";102;
2603000;"Powiat kazimierski";104;
2604000;"Powiat kielecki";101;
2605000;"Powiat konecki";103;
2606000;"Powiat opatowski";101;
2607000;"Powiat ostrowiecki";109;
2608000;"Powiat pińczowski";103;
2609000;"Powiat sandomierski";105;
2610000;"Powiat skarżyski";107;
2611000;"Powiat starachowicki";107;
2612000;"Powiat staszowski";102;
2613000;"Powiat włoszczowski";100;
2661000;"Powiat m.Kielce";114;
2800000;"WARMIŃSKO-MAZURSKIE";105;
2801000;"Powiat bartoszycki";104;
2802000;"Powiat braniewski";100;
2803000;"Powiat działdowski";103;
2804000;"Powiat elbląski";100;
2805000;"Powiat ełcki";104;
2806000;"Powiat giżycki";105;
2807000;"Powiat iławski";102;
2808000;"Powiat kętrzyński";105;
2809000;"Powiat lidzbarski";104;
2810000;"Powiat mrągowski";105;
2811000;"Powiat nidzicki";102;
2812000;"Powiat nowomiejski";100;
2813000;"Powiat olecki";100;
2814000;"Powiat olsztyński";103;
2815000;"Powiat ostródzki";103;
2816000;"Powiat piski";101;
2817000;"Powiat szczycieński";102;
2818000;"Powiat gołdapski";102;
2819000;"Powiat węgorzewski";101;
2861000;"Powiat m.Elbląg";109;
2862000;"Powiat m.Olsztyn";115;
3000000;"WIELKOPOLSKIE";106;
3001000;"Powiat chodzieski";104;
3002000;"Powiat czarnkowsko-trzcianecki";101;
3003000;"Powiat gnieźnieński";105;
3004000;"Powiat gostyński";101;
3005000;"Powiat grodziski";102;
3006000;"Powiat jarociński";105;
3007000;"Powiat kaliski";103;
3008000;"Powiat kępiński";102;
3009000;"Powiat kolski";104;
3010000;"Powiat koniński";101;
3011000;"Powiat kościański";104;
3012000;"Powiat krotoszyński";104;
3013000;"Powiat leszczyński";101;
3014000;"Powiat międzychodzki";101;
3015000;"Powiat nowotomyski";104;
3016000;"Powiat obornicki";102;
3017000;"Powiat ostrowski";105;
3018000;"Powiat ostrzeszowski";103;
3019000;"Powiat pilski";105;
3020000;"Powiat pleszewski";102;
3021000;"Powiat poznański";106;
3022000;"Powiat rawicki";103;
3023000;"Powiat słupecki";101;
3024000;"Powiat szamotulski";104;
3025000;"Powiat średzki";103;
3026000;"Powiat śremski";104;
3027000;"Powiat turecki";105;
3028000;"Powiat wągrowiecki";102;
3029000;"Powiat wolsztyński";104;
3030000;"Powiat wrzesiński";105;
3031000;"Powiat złotowski";102;
3061000;"Powiat m.Kalisz";115;
3062000;"Powiat m.Konin";112;
3063000;"Powiat m.Leszno";110;
3064000;"Powiat m.Poznań";114;
3200000;"ZACHODNIOPOMORSKIE";106;
3201000;"Powiat białogardzki";103;
3202000;"Powiat choszczeński";101;
3203000;"Powiat drawski";104;
3204000;"Powiat goleniowski";103;
3205000;"Powiat gryficki";102;
3206000;"Powiat gryfiński";102;
3207000;"Powiat kamieński";105;
3208000;"Powiat kołobrzeski";109;
3209000;"Powiat koszaliński";100;
3210000;"Powiat myśliborski";104;
3211000;"Powiat policki";105;
3212000;"Powiat pyrzycki";100;
3213000;"Powiat sławieński";104;
3214000;"Powiat stargardzki";104;
3215000;"Powiat szczecinecki";106;
3216000;"Powiat świdwiński";103;
3217000;"Powiat wałecki";105;
3218000;"Powiat łobeski";101;
3261000;"Powiat m.Koszalin";113;
3262000;"Powiat m.Szczecin";111;
3263000;"Powiat m.Świnoujście";108;
