"","wojewodztwo","powiat_miasto","teryt"
"1","Cały kraj","Cały kraj","t0000"
"2","dolnośląskie","bolesławiecki","t0201"
"3","dolnośląskie","dzierżoniowski","t0202"
"4","dolnośląskie","głogowski","t0203"
"5","dolnośląskie","górowski","t0204"
"6","dolnośląskie","jaworski","t0205"
"7","dolnośląskie","jeleniogórski","t0206"
"8","dolnośląskie","kamiennogórski","t0207"
"9","dolnośląskie","kłodzki","t0208"
"10","dolnośląskie","legnicki","t0209"
"11","dolnośląskie","lubański","t0210"
"12","dolnośląskie","lubiński","t0211"
"13","dolnośląskie","lwówecki","t0212"
"14","dolnośląskie","milicki","t0213"
"15","dolnośląskie","oleśnicki","t0214"
"16","dolnośląskie","oławski","t0215"
"17","dolnośląskie","polkowicki","t0216"
"18","dolnośląskie","strzeliński","t0217"
"19","dolnośląskie","średzki","t0218"
"20","dolnośląskie","świdnicki","t0219"
"21","dolnośląskie","trzebnicki","t0220"
"22","dolnośląskie","wałbrzyski","t0221"
"23","dolnośląskie","wołowski","t0222"
"24","dolnośląskie","wrocławski","t0223"
"25","dolnośląskie","ząbkowicki","t0224"
"26","dolnośląskie","zgorzelecki","t0225"
"27","dolnośląskie","złotoryjski","t0226"
"28","dolnośląskie","Jelenia Góra","t0261"
"29","dolnośląskie","Legnica","t0262"
"30","dolnośląskie","Wrocław","t0264"
"31","dolnośląskie","Wałbrzych","t0265"
"32","kujawsko-pomorskie","aleksandrowski","t0401"
"33","kujawsko-pomorskie","brodnicki","t0402"
"34","kujawsko-pomorskie","bydgoski","t0403"
"35","kujawsko-pomorskie","chełmiński","t0404"
"36","kujawsko-pomorskie","golubsko-dobrzyński","t0405"
"37","kujawsko-pomorskie","grudziądzki","t0406"
"38","kujawsko-pomorskie","inowrocławski","t0407"
"39","kujawsko-pomorskie","lipnowski","t0408"
"40","kujawsko-pomorskie","mogileński","t0409"
"41","kujawsko-pomorskie","nakielski","t0410"
"42","kujawsko-pomorskie","radziejowski","t0411"
"43","kujawsko-pomorskie","rypiński","t0412"
"44","kujawsko-pomorskie","sępoleński","t0413"
"45","kujawsko-pomorskie","świecki","t0414"
"46","kujawsko-pomorskie","toruński","t0415"
"47","kujawsko-pomorskie","tucholski","t0416"
"48","kujawsko-pomorskie","wąbrzeski","t0417"
"49","kujawsko-pomorskie","włocławski","t0418"
"50","kujawsko-pomorskie","żniński","t0419"
"51","kujawsko-pomorskie","Bydgoszcz","t0461"
"52","kujawsko-pomorskie","Grudziądz","t0462"
"53","kujawsko-pomorskie","Toruń","t0463"
"54","kujawsko-pomorskie","Włocławek","t0464"
"55","lubelskie","bialski","t0601"
"56","lubelskie","biłgorajski","t0602"
"57","lubelskie","chełmski","t0603"
"58","lubelskie","hrubieszowski","t0604"
"59","lubelskie","janowski","t0605"
"60","lubelskie","krasnostawski","t0606"
"61","lubelskie","kraśnicki","t0607"
"62","lubelskie","lubartowski","t0608"
"63","lubelskie","lubelski","t0609"
"64","lubelskie","łęczyński","t0610"
"65","lubelskie","łukowski","t0611"
"66","lubelskie","opolski","t0612"
"67","lubelskie","parczewski","t0613"
"68","lubelskie","puławski","t0614"
"69","lubelskie","radzyński","t0615"
"70","lubelskie","rycki","t0616"
"71","lubelskie","świdnicki","t0617"
"72","lubelskie","tomaszowski","t0618"
"73","lubelskie","włodawski","t0619"
"74","lubelskie","zamojski","t0620"
"75","lubelskie","Biała Podlaska","t0661"
"76","lubelskie","Chełm","t0662"
"77","lubelskie","Lublin","t0663"
"78","lubelskie","Zamość","t0664"
"79","lubuskie","gorzowski","t0801"
"80","lubuskie","krośnieński","t0802"
"81","lubuskie","międzyrzecki","t0803"
"82","lubuskie","nowosolski","t0804"
"83","lubuskie","słubicki","t0805"
"84","lubuskie","strzelecko-drezdenecki","t0806"
"85","lubuskie","sulęciński","t0807"
"86","lubuskie","świebodziński","t0808"
"87","lubuskie","zielonogórski","t0809"
"88","lubuskie","żagański","t0810"
"89","lubuskie","żarski","t0811"
"90","lubuskie","wschowski","t0812"
"91","lubuskie","Gorzów Wielkopolski","t0861"
"92","lubuskie","Zielona Góra","t0862"
"93","łódzkie","bełchatowski","t1001"
"94","łódzkie","kutnowski","t1002"
"95","łódzkie","łaski","t1003"
"96","łódzkie","łęczycki","t1004"
"97","łódzkie","łowicki","t1005"
"98","łódzkie","łódzki wschodni","t1006"
"99","łódzkie","opoczyński","t1007"
"100","łódzkie","pabianicki","t1008"
"101","łódzkie","pajęczański","t1009"
"102","łódzkie","piotrkowski","t1010"
"103","łódzkie","poddębicki","t1011"
"104","łódzkie","radomszczański","t1012"
"105","łódzkie","rawski","t1013"
"106","łódzkie","sieradzki","t1014"
"107","łódzkie","skierniewicki","t1015"
"108","łódzkie","tomaszowski","t1016"
"109","łódzkie","wieluński","t1017"
"110","łódzkie","wieruszowski","t1018"
"111","łódzkie","zduńskowolski","t1019"
"112","łódzkie","zgierski","t1020"
"113","łódzkie","brzeziński","t1021"
"114","łódzkie","Łódź","t1061"
"115","łódzkie","Piotrków Trybunalski","t1062"
"116","łódzkie","Skierniewice","t1063"
"117","małopolskie","bocheński","t1201"
"118","małopolskie","brzeski","t1202"
"119","małopolskie","chrzanowski","t1203"
"120","małopolskie","dąbrowski","t1204"
"121","małopolskie","gorlicki","t1205"
"122","małopolskie","krakowski","t1206"
"123","małopolskie","limanowski","t1207"
"124","małopolskie","miechowski","t1208"
"125","małopolskie","myślenicki","t1209"
"126","małopolskie","nowosądecki","t1210"
"127","małopolskie","nowotarski","t1211"
"128","małopolskie","olkuski","t1212"
"129","małopolskie","oświęcimski","t1213"
"130","małopolskie","proszowicki","t1214"
"131","małopolskie","suski","t1215"
"132","małopolskie","tarnowski","t1216"
"133","małopolskie","tatrzański","t1217"
"134","małopolskie","wadowicki","t1218"
"135","małopolskie","wielicki","t1219"
"136","małopolskie","Kraków","t1261"
"137","małopolskie","Nowy Sącz","t1262"
"138","małopolskie","Tarnów","t1263"
"139","mazowieckie","białobrzeski","t1401"
"140","mazowieckie","ciechanowski","t1402"
"141","mazowieckie","garwoliński","t1403"
"142","mazowieckie","gostyniński","t1404"
"143","mazowieckie","grodziski","t1405"
"144","mazowieckie","grójecki","t1406"
"145","mazowieckie","kozienicki","t1407"
"146","mazowieckie","legionowski","t1408"
"147","mazowieckie","lipski","t1409"
"148","mazowieckie","łosicki","t1410"
"149","mazowieckie","makowski","t1411"
"150","mazowieckie","miński","t1412"
"151","mazowieckie","mławski","t1413"
"152","mazowieckie","nowodworski","t1414"
"153","mazowieckie","ostrołęcki","t1415"
"154","mazowieckie","ostrowski","t1416"
"155","mazowieckie","otwocki","t1417"
"156","mazowieckie","piaseczyński","t1418"
"157","mazowieckie","płocki","t1419"
"158","mazowieckie","płoński","t1420"
"159","mazowieckie","pruszkowski","t1421"
"160","mazowieckie","przasnyski","t1422"
"161","mazowieckie","przysuski","t1423"
"162","mazowieckie","pułtuski","t1424"
"163","mazowieckie","radomski","t1425"
"164","mazowieckie","siedlecki","t1426"
"165","mazowieckie","sierpecki","t1427"
"166","mazowieckie","sochaczewski","t1428"
"167","mazowieckie","sokołowski","t1429"
"168","mazowieckie","szydłowiecki","t1430"
"169","mazowieckie","warszawski zachodni","t1432"
"170","mazowieckie","węgrowski","t1433"
"171","mazowieckie","wołomiński","t1434"
"172","mazowieckie","wyszkowski","t1435"
"173","mazowieckie","zwoleński","t1436"
"174","mazowieckie","żuromiński","t1437"
"175","mazowieckie","żyrardowski","t1438"
"176","mazowieckie","Ostrołęka","t1461"
"177","mazowieckie","Płock","t1462"
"178","mazowieckie","Radom","t1463"
"179","mazowieckie","Siedlce","t1464"
"180","mazowieckie","Warszawa","t1465"
"181","opolskie","brzeski","t1601"
"182","opolskie","głubczycki","t1602"
"183","opolskie","kędzierzyńsko-kozielski","t1603"
"184","opolskie","kluczborski","t1604"
"185","opolskie","krapkowicki","t1605"
"186","opolskie","namysłowski","t1606"
"187","opolskie","nyski","t1607"
"188","opolskie","oleski","t1608"
"189","opolskie","opolski","t1609"
"190","opolskie","prudnicki","t1610"
"191","opolskie","strzelecki","t1611"
"192","opolskie","Opole","t1661"
"193","podkarpackie","bieszczadzki","t1801"
"194","podkarpackie","brzozowski","t1802"
"195","podkarpackie","dębicki","t1803"
"196","podkarpackie","jarosławski","t1804"
"197","podkarpackie","jasielski","t1805"
"198","podkarpackie","kolbuszowski","t1806"
"199","podkarpackie","krośnieński","t1807"
"200","podkarpackie","leżajski","t1808"
"201","podkarpackie","lubaczowski","t1809"
"202","podkarpackie","łańcucki","t1810"
"203","podkarpackie","mielecki","t1811"
"204","podkarpackie","niżański","t1812"
"205","podkarpackie","przemyski","t1813"
"206","podkarpackie","przeworski","t1814"
"207","podkarpackie","ropczycko-sędziszowski","t1815"
"208","podkarpackie","rzeszowski","t1816"
"209","podkarpackie","sanocki","t1817"
"210","podkarpackie","stalowowolski","t1818"
"211","podkarpackie","strzyżowski","t1819"
"212","podkarpackie","tarnobrzeski","t1820"
"213","podkarpackie","leski","t1821"
"214","podkarpackie","Krosno","t1861"
"215","podkarpackie","Przemyśl","t1862"
"216","podkarpackie","Rzeszów","t1863"
"217","podkarpackie","Tarnobrzeg","t1864"
"218","podlaskie","augustowski","t2001"
"219","podlaskie","białostocki","t2002"
"220","podlaskie","bielski","t2003"
"221","podlaskie","grajewski","t2004"
"222","podlaskie","hajnowski","t2005"
"223","podlaskie","kolneński","t2006"
"224","podlaskie","łomżyński","t2007"
"225","podlaskie","moniecki","t2008"
"226","podlaskie","sejneński","t2009"
"227","podlaskie","siemiatycki","t2010"
"228","podlaskie","sokólski","t2011"
"229","podlaskie","suwalski","t2012"
"230","podlaskie","wysokomazowiecki","t2013"
"231","podlaskie","zambrowski","t2014"
"232","podlaskie","Białystok","t2061"
"233","podlaskie","Łomża","t2062"
"234","podlaskie","Suwałki","t2063"
"235","pomorskie","bytowski","t2201"
"236","pomorskie","chojnicki","t2202"
"237","pomorskie","człuchowski","t2203"
"238","pomorskie","gdański","t2204"
"239","pomorskie","kartuski","t2205"
"240","pomorskie","kościerski","t2206"
"241","pomorskie","kwidzyński","t2207"
"242","pomorskie","lęborski","t2208"
"243","pomorskie","malborski","t2209"
"244","pomorskie","nowodworski","t2210"
"245","pomorskie","pucki","t2211"
"246","pomorskie","słupski","t2212"
"247","pomorskie","starogardzki","t2213"
"248","pomorskie","tczewski","t2214"
"249","pomorskie","wejherowski","t2215"
"250","pomorskie","sztumski","t2216"
"251","pomorskie","Gdańsk","t2261"
"252","pomorskie","Gdynia","t2262"
"253","pomorskie","Słupsk","t2263"
"254","pomorskie","Sopot","t2264"
"255","śląskie","będziński","t2401"
"256","śląskie","bielski","t2402"
"257","śląskie","cieszyński","t2403"
"258","śląskie","częstochowski","t2404"
"259","śląskie","gliwicki","t2405"
"260","śląskie","kłobucki","t2406"
"261","śląskie","lubliniecki","t2407"
"262","śląskie","mikołowski","t2408"
"263","śląskie","myszkowski","t2409"
"264","śląskie","pszczyński","t2410"
"265","śląskie","raciborski","t2411"
"266","śląskie","rybnicki","t2412"
"267","śląskie","tarnogórski","t2413"
"268","śląskie","bieruńsko-lędziński","t2414"
"269","śląskie","wodzisławski","t2415"
"270","śląskie","zawierciański","t2416"
"271","śląskie","żywiecki","t2417"
"272","śląskie","Bielsko-Biała","t2461"
"273","śląskie","Bytom","t2462"
"274","śląskie","Chorzów","t2463"
"275","śląskie","Częstochowa","t2464"
"276","śląskie","Dąbrowa Górnicza","t2465"
"277","śląskie","Gliwice","t2466"
"278","śląskie","Jastrzębie-Zdrój","t2467"
"279","śląskie","Jaworzno","t2468"
"280","śląskie","Katowice","t2469"
"281","śląskie","Mysłowice","t2470"
"282","śląskie","Piekary Śląskie","t2471"
"283","śląskie","Ruda Śląska","t2472"
"284","śląskie","Rybnik","t2473"
"285","śląskie","Siemianowice Śląskie","t2474"
"286","śląskie","Sosnowiec","t2475"
"287","śląskie","Świętochłowice","t2476"
"288","śląskie","Tychy","t2477"
"289","śląskie","Zabrze","t2478"
"290","śląskie","Żory","t2479"
"291","świętokrzyskie","buski","t2601"
"292","świętokrzyskie","jędrzejowski","t2602"
"293","świętokrzyskie","kazimierski","t2603"
"294","świętokrzyskie","kielecki","t2604"
"295","świętokrzyskie","konecki","t2605"
"296","świętokrzyskie","opatowski","t2606"
"297","świętokrzyskie","ostrowiecki","t2607"
"298","świętokrzyskie","pińczowski","t2608"
"299","świętokrzyskie","sandomierski","t2609"
"300","świętokrzyskie","skarżyski","t2610"
"301","świętokrzyskie","starachowicki","t2611"
"302","świętokrzyskie","staszowski","t2612"
"303","świętokrzyskie","włoszczowski","t2613"
"304","świętokrzyskie","Kielce","t2661"
"305","warmińsko-mazurskie","bartoszycki","t2801"
"306","warmińsko-mazurskie","braniewski","t2802"
"307","warmińsko-mazurskie","działdowski","t2803"
"308","warmińsko-mazurskie","elbląski","t2804"
"309","warmińsko-mazurskie","ełcki","t2805"
"310","warmińsko-mazurskie","giżycki","t2806"
"311","warmińsko-mazurskie","iławski","t2807"
"312","warmińsko-mazurskie","kętrzyński","t2808"
"313","warmińsko-mazurskie","lidzbarski","t2809"
"314","warmińsko-mazurskie","mrągowski","t2810"
"315","warmińsko-mazurskie","nidzicki","t2811"
"316","warmińsko-mazurskie","nowomiejski","t2812"
"317","warmińsko-mazurskie","olecki","t2813"
"318","warmińsko-mazurskie","olsztyński","t2814"
"319","warmińsko-mazurskie","ostródzki","t2815"
"320","warmińsko-mazurskie","piski","t2816"
"321","warmińsko-mazurskie","szczycieński","t2817"
"322","warmińsko-mazurskie","gołdapski","t2818"
"323","warmińsko-mazurskie","węgorzewski","t2819"
"324","warmińsko-mazurskie","Elbląg","t2861"
"325","warmińsko-mazurskie","Olsztyn","t2862"
"326","wielkopolskie","chodzieski","t3001"
"327","wielkopolskie","czarnkowsko-trzcianecki","t3002"
"328","wielkopolskie","gnieźnieński","t3003"
"329","wielkopolskie","gostyński","t3004"
"330","wielkopolskie","grodziski","t3005"
"331","wielkopolskie","jarociński","t3006"
"332","wielkopolskie","kaliski","t3007"
"333","wielkopolskie","kępiński","t3008"
"334","wielkopolskie","kolski","t3009"
"335","wielkopolskie","koniński","t3010"
"336","wielkopolskie","kościański","t3011"
"337","wielkopolskie","krotoszyński","t3012"
"338","wielkopolskie","leszczyński","t3013"
"339","wielkopolskie","międzychodzki","t3014"
"340","wielkopolskie","nowotomyski","t3015"
"341","wielkopolskie","obornicki","t3016"
"342","wielkopolskie","ostrowski","t3017"
"343","wielkopolskie","ostrzeszowski","t3018"
"344","wielkopolskie","pilski","t3019"
"345","wielkopolskie","pleszewski","t3020"
"346","wielkopolskie","poznański","t3021"
"347","wielkopolskie","rawicki","t3022"
"348","wielkopolskie","słupecki","t3023"
"349","wielkopolskie","szamotulski","t3024"
"350","wielkopolskie","średzki","t3025"
"351","wielkopolskie","śremski","t3026"
"352","wielkopolskie","turecki","t3027"
"353","wielkopolskie","wągrowiecki","t3028"
"354","wielkopolskie","wolsztyński","t3029"
"355","wielkopolskie","wrzesiński","t3030"
"356","wielkopolskie","złotowski","t3031"
"357","wielkopolskie","Kalisz","t3061"
"358","wielkopolskie","Konin","t3062"
"359","wielkopolskie","Leszno","t3063"
"360","wielkopolskie","Poznań","t3064"
"361","zachodniopomorskie","białogardzki","t3201"
"362","zachodniopomorskie","choszczeński","t3202"
"363","zachodniopomorskie","drawski","t3203"
"364","zachodniopomorskie","goleniowski","t3204"
"365","zachodniopomorskie","gryficki","t3205"
"366","zachodniopomorskie","gryfiński","t3206"
"367","zachodniopomorskie","kamieński","t3207"
"368","zachodniopomorskie","kołobrzeski","t3208"
"369","zachodniopomorskie","koszaliński","t3209"
"370","zachodniopomorskie","myśliborski","t3210"
"371","zachodniopomorskie","policki","t3211"
"372","zachodniopomorskie","pyrzycki","t3212"
"373","zachodniopomorskie","sławieński","t3213"
"374","zachodniopomorskie","stargardzki","t3214"
"375","zachodniopomorskie","szczecinecki","t3215"
"376","zachodniopomorskie","świdwiński","t3216"
"377","zachodniopomorskie","wałecki","t3217"
"378","zachodniopomorskie","łobeski","t3218"
"379","zachodniopomorskie","Koszalin","t3261"
"380","zachodniopomorskie","Szczecin","t3262"
"381","zachodniopomorskie","Świnoujście","t3263"
